196	1	5	874965000
196	6	4	874965001
196	9	5	874965002
196	11	5	874965003
196	12	2	874965004
1	1	5	874965005
1	3	4	874965006
1	4	4	874965007
1	7	5	874965008
1	10	3	874965009
2	2	4	874965010
2	5	5	874965011
2	6	4	874965012
2	9	5	874965013
2	11	5	874965014
3	8	5	874965015
3	10	5	874965016
3	12	5	874965017
3	5	3	874965018
3	4	2	874965019
4	1	4	874965020
4	7	4	874965021
4	12	5	874965022
4	3	3	874965023
4	8	4	874965024
5	2	5	874965025
5	9	5	874965026
5	11	4	874965027
5	6	5	874965028
5	5	2	874965029
6	10	5	874965030
6	4	4	874965031
6	5	4	874965032
6	12	3	874965033
6	8	4	874965034
